medicine,toxicity_level,disposal,compost_safe,warnings
Salbutamol 500mg,Medium,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Salbutamol Tab,Medium,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Salbutamol 500mg,Medium,Eco-bin drop-off,No,Harmful to aquatic life.
Salbutamol Cap,High,Safe landfill,No,Disrupts soil microbes if composted.
Salbutamol XL,Low,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Salbutamol Tab,Low,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Salbutamol XL,High,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Salbutamol Tab,High,Eco-bin drop-off,No,Harmful to aquatic life.
Salbutamol 500mg,Medium,Safe landfill,No,Disrupts soil microbes if composted.
Salbutamol Oral,High,Return to pharmacy,No,Toxic if released into groundwater.
Salbutamol Tablet,Medium,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Salbutamol Cap,Low,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Salbutamol Tablet,Low,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Salbutamol 500mg,High,Safe landfill,No,Can enter waterways through improper disposal.
Salbutamol SR,Medium,Return to pharmacy,Yes,Dispose carefully to avoid antibiotic resistance.
Salbutamol 500mg,Medium,Hazardous waste treatment,Yes,Harmful to aquatic life.
Salbutamol Oral,Medium,Do not flush. Incinerate,Yes,Eco-hazardous if mixed with household waste.
Salbutamol 500mg,High,Safe landfill,Yes,Can enter waterways through improper disposal.
Salbutamol Tab,Low,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Salbutamol 100mg,Medium,Hazardous waste treatment,No,Toxic if released into groundwater.
Salbutamol Cap,Low,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Salbutamol Tab,Medium,Return to pharmacy,No,Avoid flushing. Dispose in eco-safe bins.
Salbutamol Oral,High,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Salbutamol SR,Medium,Safe landfill,No,Can enter waterways through improper disposal.
Salbutamol 100mg,Medium,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Salbutamol XL,Low,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Salbutamol Cap,Low,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Salbutamol Cap,Medium,Eco-bin drop-off,No,Toxic if released into groundwater.
Salbutamol XL,Low,Hazardous waste treatment,Yes,Harmful to aquatic life.
Salbutamol 100mg,High,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Salbutamol 100mg,High,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Salbutamol Tablet,Medium,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Salbutamol Oral,Medium,Hazardous waste treatment,Yes,Toxic if released into groundwater.
Salbutamol 100mg,Low,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Salbutamol Tab,Medium,Safe landfill,No,Should be incinerated to avoid soil contamination.
Salbutamol XL,Low,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Salbutamol 250mg,Medium,Safe landfill,No,Disrupts soil microbes if composted.
Salbutamol 500mg,Low,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Salbutamol XL,High,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Salbutamol 500mg,Medium,Do not flush. Incinerate,Yes,Eco-hazardous if mixed with household waste.
Salbutamol Tablet,Low,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Salbutamol SR,Low,Do not flush. Incinerate,Yes,Eco-hazardous if mixed with household waste.
Salbutamol 250mg,Medium,Safe landfill,No,Should be incinerated to avoid soil contamination.
Salbutamol Tablet,Medium,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Salbutamol XL,Medium,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Salbutamol SR,Low,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Salbutamol Capsule,High,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Salbutamol 500mg,High,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Salbutamol Tablet,Medium,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Salbutamol Capsule,Medium,Hazardous waste treatment,No,Toxic if released into groundwater.
Salbutamol Tablet,Medium,Safe landfill,Yes,Can enter waterways through improper disposal.
Salbutamol Tab,Low,Eco-bin drop-off,No,Harmful to aquatic life.
Salbutamol Capsule,Low,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Salbutamol Tablet,Medium,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Salbutamol 100mg,Medium,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Salbutamol XL,Medium,Return to pharmacy,No,Should be incinerated to avoid soil contamination.
Salbutamol 100mg,Low,Do not flush. Incinerate,Yes,Can enter waterways through improper disposal.
Salbutamol Cap,Low,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Salbutamol Tablet,Medium,Safe landfill,Yes,Can enter waterways through improper disposal.
Salbutamol Capsule,Medium,Eco-bin drop-off,No,Harmful to aquatic life.
Salbutamol 500mg,Medium,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Salbutamol 500mg,Low,Return to pharmacy,No,Disrupts soil microbes if composted.
Salbutamol Cap,Medium,Hazardous waste treatment,No,Toxic if released into groundwater.
Salbutamol SR,Low,Hazardous waste treatment,No,Toxic if released into groundwater.
Salbutamol Tablet,Medium,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Salbutamol SR,Low,Hazardous waste treatment,No,Harmful to aquatic life.
Salbutamol 500mg,Medium,Do not flush. Incinerate,No,Toxic if released into groundwater.
Salbutamol Oral,Low,Return to pharmacy,No,Toxic if released into groundwater.
Salbutamol Tab,High,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Salbutamol 250mg,Low,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Salbutamol Capsule,Low,Do not flush. Incinerate,No,Toxic if released into groundwater.
Salbutamol 500mg,High,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Salbutamol SR,Low,Safe landfill,No,Should be incinerated to avoid soil contamination.
Salbutamol 500mg,Low,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Salbutamol Tab,Medium,Hazardous waste treatment,Yes,Should be incinerated to avoid soil contamination.
Salbutamol 100mg,Medium,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Salbutamol 250mg,High,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Salbutamol Cap,High,Safe landfill,No,Disrupts soil microbes if composted.
Salbutamol 500mg,Low,Eco-bin drop-off,No,Harmful to aquatic life.
Salbutamol Tablet,Low,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Salbutamol XL,High,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Salbutamol 100mg,Low,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Salbutamol Cap,Low,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Salbutamol Capsule,Medium,Safe landfill,Yes,Disrupts soil microbes if composted.
Salbutamol Oral,Medium,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Salbutamol SR,Low,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Salbutamol Tablet,Low,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Salbutamol Tablet,Medium,Return to pharmacy,Yes,Harmful to aquatic life.
Salbutamol Capsule,Medium,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Salbutamol Cap,Low,Safe landfill,No,Harmful to aquatic life.
Salbutamol 500mg,Medium,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Salbutamol Capsule,Low,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Salbutamol 250mg,Low,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Salbutamol XL,Medium,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Salbutamol 500mg,Medium,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Salbutamol Cap,Low,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Salbutamol Tab,Low,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Salbutamol SR,High,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Salbutamol Oral,Low,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Salbutamol 500mg,Medium,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Salbutamol Oral,Low,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Salbutamol 250mg,Low,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Salbutamol Tab,High,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Salbutamol Tab,High,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Salbutamol 100mg,Low,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Salbutamol Tablet,High,Safe landfill,No,Should be incinerated to avoid soil contamination.
Salbutamol Oral,Low,Eco-bin drop-off,No,Avoid flushing. Dispose in eco-safe bins.
Salbutamol SR,High,Safe landfill,No,Disrupts soil microbes if composted.
Salbutamol Tab,Low,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Salbutamol 250mg,High,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Salbutamol Tab,Low,Return to pharmacy,Yes,Eco-hazardous if mixed with household waste.
Salbutamol Tab,Low,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Salbutamol Capsule,Low,Return to pharmacy,No,Toxic if released into groundwater.
Salbutamol Tab,Medium,Return to pharmacy,Yes,Dispose carefully to avoid antibiotic resistance.
Salbutamol Tab,Medium,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Salbutamol 500mg,Medium,Do not flush. Incinerate,No,Toxic if released into groundwater.
Salbutamol Tablet,High,Do not flush. Incinerate,Yes,Eco-hazardous if mixed with household waste.
Salbutamol Oral,Medium,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Salbutamol Tablet,High,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Salbutamol Capsule,Medium,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Salbutamol SR,High,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Salbutamol Capsule,High,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Salbutamol Capsule,Low,Safe landfill,Yes,Toxic if released into groundwater.
Salbutamol Tablet,Medium,Return to pharmacy,No,Toxic if released into groundwater.
Salbutamol SR,Low,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Salbutamol SR,Medium,Return to pharmacy,No,Can enter waterways through improper disposal.
Salbutamol 100mg,Low,Hazardous waste treatment,Yes,Harmful to aquatic life.
Salbutamol Tablet,Low,Return to pharmacy,Yes,Harmful to aquatic life.
Salbutamol 250mg,High,Safe landfill,Yes,Toxic if released into groundwater.
Salbutamol XL,Medium,Do not flush. Incinerate,No,Should be incinerated to avoid soil contamination.
Salbutamol SR,Medium,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Salbutamol Capsule,High,Eco-bin drop-off,Yes,Harmful to aquatic life.
Salbutamol 500mg,Medium,Return to pharmacy,No,Harmful to aquatic life.
Salbutamol 100mg,Low,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Salbutamol 250mg,Low,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Salbutamol Tablet,Low,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Salbutamol Capsule,Medium,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Salbutamol Oral,Low,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Salbutamol 100mg,Medium,Return to pharmacy,No,Toxic if released into groundwater.
Salbutamol Cap,Low,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Salbutamol Cap,Low,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Salbutamol Tab,High,Eco-bin drop-off,No,Avoid flushing. Dispose in eco-safe bins.
Salbutamol 500mg,High,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Budesonide Cap,High,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
Budesonide Capsule,Low,Hazardous waste treatment,Yes,Toxic if released into groundwater.
Budesonide 100mg,High,Safe landfill,No,Harmful to aquatic life.
Budesonide 500mg,Low,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Budesonide Capsule,Low,Hazardous waste treatment,Yes,Harmful to aquatic life.
Budesonide SR,High,Hazardous waste treatment,Yes,Harmful to aquatic life.
Budesonide 500mg,High,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Budesonide SR,Low,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Budesonide XL,High,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Budesonide XL,Medium,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Budesonide Tablet,Low,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Budesonide Tablet,Low,Safe landfill,No,Should be incinerated to avoid soil contamination.
Budesonide SR,High,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Budesonide Cap,Medium,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Budesonide Tablet,Medium,Safe landfill,Yes,Disrupts soil microbes if composted.
Budesonide Tablet,Low,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Budesonide Capsule,High,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Budesonide Oral,Low,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Budesonide 250mg,High,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Budesonide Capsule,Medium,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Budesonide 500mg,Low,Do not flush. Incinerate,Yes,Eco-hazardous if mixed with household waste.
Budesonide 100mg,Low,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Budesonide 100mg,Medium,Safe landfill,No,Toxic if released into groundwater.
Budesonide 250mg,Low,Return to pharmacy,No,Can enter waterways through improper disposal.
Budesonide Capsule,Low,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Budesonide Oral,Low,Hazardous waste treatment,Yes,Should be incinerated to avoid soil contamination.
Budesonide XL,Medium,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Budesonide 100mg,Medium,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Budesonide Tablet,Medium,Return to pharmacy,Yes,Toxic if released into groundwater.
Budesonide Cap,Low,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Budesonide Tablet,Medium,Safe landfill,No,Can enter waterways through improper disposal.
Budesonide XL,High,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Budesonide Oral,High,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Budesonide SR,High,Return to pharmacy,Yes,Harmful to aquatic life.
Budesonide SR,Medium,Eco-bin drop-off,Yes,Dispose carefully to avoid antibiotic resistance.
Budesonide XL,Low,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Budesonide Capsule,Medium,Safe landfill,Yes,Disrupts soil microbes if composted.
Budesonide Cap,Medium,Do not flush. Incinerate,No,Harmful to aquatic life.
Budesonide Tablet,High,Safe landfill,No,Harmful to aquatic life.
Budesonide Oral,Medium,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Budesonide SR,Low,Return to pharmacy,No,Should be incinerated to avoid soil contamination.
Budesonide Oral,High,Eco-bin drop-off,Yes,Avoid flushing. Dispose in eco-safe bins.
Budesonide XL,Medium,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Budesonide Tab,Medium,Do not flush. Incinerate,No,Should be incinerated to avoid soil contamination.
Budesonide Oral,Low,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Budesonide 250mg,High,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Budesonide Oral,Medium,Do not flush. Incinerate,No,Toxic if released into groundwater.
Budesonide 500mg,Medium,Safe landfill,Yes,Can enter waterways through improper disposal.
Budesonide Tab,Medium,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Budesonide SR,High,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Budesonide 500mg,Low,Return to pharmacy,No,Should be incinerated to avoid soil contamination.
Budesonide Cap,Low,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Budesonide SR,Low,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Budesonide XL,Medium,Eco-bin drop-off,No,Can enter waterways through improper disposal.
Budesonide SR,Low,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Budesonide Oral,Low,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Budesonide Cap,Low,Hazardous waste treatment,Yes,Should be incinerated to avoid soil contamination.
Budesonide Cap,Medium,Return to pharmacy,No,Toxic if released into groundwater.
Budesonide SR,Low,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Budesonide 250mg,Medium,Safe landfill,Yes,Harmful to aquatic life.
Budesonide 250mg,High,Return to pharmacy,Yes,Toxic if released into groundwater.
Budesonide Cap,Low,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Budesonide 500mg,Medium,Eco-bin drop-off,Yes,Harmful to aquatic life.
Budesonide 100mg,High,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Budesonide Oral,Low,Return to pharmacy,No,Harmful to aquatic life.
Budesonide SR,Low,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Budesonide Tab,High,Hazardous waste treatment,Yes,Avoid flushing. Dispose in eco-safe bins.
Budesonide 250mg,Low,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Budesonide 500mg,High,Return to pharmacy,No,Disrupts soil microbes if composted.
Budesonide 500mg,High,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Budesonide Capsule,Medium,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Budesonide 500mg,Low,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Budesonide XL,High,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Budesonide Oral,Medium,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Budesonide 500mg,Medium,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Budesonide SR,Medium,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Budesonide Tab,High,Hazardous waste treatment,Yes,Harmful to aquatic life.
Budesonide Tab,Low,Hazardous waste treatment,Yes,Should be incinerated to avoid soil contamination.
Budesonide Tablet,Medium,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Budesonide Oral,Medium,Do not flush. Incinerate,No,Harmful to aquatic life.
Budesonide Cap,Low,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Budesonide Capsule,Medium,Eco-bin drop-off,No,Harmful to aquatic life.
Budesonide 500mg,Low,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Budesonide 500mg,Low,Do not flush. Incinerate,No,Harmful to aquatic life.
Budesonide Tab,Low,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Budesonide Capsule,Low,Do not flush. Incinerate,No,Should be incinerated to avoid soil contamination.
Budesonide Capsule,Low,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Budesonide Cap,Low,Eco-bin drop-off,Yes,Eco-hazardous if mixed with household waste.
Budesonide 100mg,High,Safe landfill,No,Harmful to aquatic life.
Budesonide Oral,Low,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Budesonide 500mg,Low,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Budesonide 100mg,Low,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Budesonide Tab,High,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Budesonide Cap,High,Return to pharmacy,No,Disrupts soil microbes if composted.
Budesonide 100mg,Low,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Budesonide Tablet,Low,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Budesonide Tablet,Medium,Safe landfill,Yes,Should be incinerated to avoid soil contamination.
Budesonide 250mg,Low,Eco-bin drop-off,No,Toxic if released into groundwater.
Budesonide Tablet,Medium,Return to pharmacy,No,Harmful to aquatic life.
Budesonide Tablet,Medium,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Budesonide 500mg,Low,Do not flush. Incinerate,No,Toxic if released into groundwater.
Budesonide 250mg,Low,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Budesonide SR,Low,Hazardous waste treatment,No,Toxic if released into groundwater.
Budesonide Tab,High,Do not flush. Incinerate,No,Toxic if released into groundwater.
Budesonide Tab,High,Eco-bin drop-off,No,Harmful to aquatic life.
Budesonide Oral,Medium,Eco-bin drop-off,No,Harmful to aquatic life.
Budesonide 500mg,Low,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Budesonide 500mg,High,Safe landfill,No,Toxic if released into groundwater.
Budesonide Tablet,Medium,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Budesonide 250mg,High,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Budesonide SR,High,Safe landfill,Yes,Can enter waterways through improper disposal.
Budesonide Capsule,Medium,Eco-bin drop-off,No,Dispose carefully to avoid antibiotic resistance.
Budesonide SR,Medium,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Budesonide Cap,High,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Budesonide Capsule,Low,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Budesonide 250mg,Low,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Budesonide 250mg,High,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Budesonide Tablet,Low,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Budesonide Cap,Low,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Budesonide 250mg,High,Hazardous waste treatment,No,Harmful to aquatic life.
Budesonide Tablet,High,Safe landfill,No,Can enter waterways through improper disposal.
Budesonide 250mg,Low,Safe landfill,No,Harmful to aquatic life.
Budesonide Oral,Low,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Budesonide 100mg,Low,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Budesonide Capsule,Medium,Return to pharmacy,No,Can enter waterways through improper disposal.
Budesonide Cap,Low,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Budesonide Capsule,Low,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Budesonide 500mg,Low,Return to pharmacy,No,Toxic if released into groundwater.
Budesonide XL,Low,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Budesonide SR,Medium,Hazardous waste treatment,Yes,Can enter waterways through improper disposal.
Budesonide Capsule,Low,Safe landfill,Yes,Can enter waterways through improper disposal.
Budesonide Oral,High,Return to pharmacy,Yes,Should be incinerated to avoid soil contamination.
Budesonide SR,Medium,Return to pharmacy,Yes,Dispose carefully to avoid antibiotic resistance.
Budesonide XL,Medium,Eco-bin drop-off,No,Toxic if released into groundwater.
Budesonide Tab,Low,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Budesonide SR,Low,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Budesonide Oral,High,Hazardous waste treatment,No,Toxic if released into groundwater.
Budesonide SR,Low,Eco-bin drop-off,Yes,Harmful to aquatic life.
Budesonide Oral,Medium,Safe landfill,No,Toxic if released into groundwater.
Budesonide Tablet,Low,Return to pharmacy,No,Avoid flushing. Dispose in eco-safe bins.
Budesonide Oral,Low,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Budesonide Capsule,Low,Do not flush. Incinerate,No,Can enter waterways through improper disposal.
Budesonide 100mg,High,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Budesonide Capsule,Low,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Budesonide Tablet,Low,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Budesonide Tab,High,Eco-bin drop-off,Yes,Toxic if released into groundwater.
Budesonide Capsule,Medium,Safe landfill,No,Avoid flushing. Dispose in eco-safe bins.
Budesonide SR,Medium,Safe landfill,No,Can enter waterways through improper disposal.
Budesonide 100mg,Medium,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Budesonide Tab,Medium,Eco-bin drop-off,No,Avoid flushing. Dispose in eco-safe bins.
Budesonide 100mg,Medium,Return to pharmacy,No,Can enter waterways through improper disposal.
Budesonide 250mg,Low,Return to pharmacy,Yes,Harmful to aquatic life.
Budesonide 250mg,Medium,Hazardous waste treatment,Yes,Disrupts soil microbes if composted.
Budesonide Oral,Medium,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Budesonide 250mg,Medium,Return to pharmacy,Yes,Toxic if released into groundwater.
Budesonide 100mg,Low,Safe landfill,No,Can enter waterways through improper disposal.
Budesonide SR,High,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Budesonide Tablet,Medium,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Budesonide Cap,Low,Return to pharmacy,Yes,Can enter waterways through improper disposal.
Budesonide Cap,Low,Eco-bin drop-off,Yes,Harmful to aquatic life.
Budesonide 500mg,Medium,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Budesonide Tab,Medium,Hazardous waste treatment,No,Avoid flushing. Dispose in eco-safe bins.
Budesonide Cap,Low,Safe landfill,No,Eco-hazardous if mixed with household waste.
Budesonide Oral,Medium,Safe landfill,No,Disrupts soil microbes if composted.
Budesonide Oral,Medium,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Budesonide 250mg,Medium,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Budesonide XL,Medium,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Budesonide 100mg,High,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Budesonide Capsule,Medium,Eco-bin drop-off,No,Should be incinerated to avoid soil contamination.
Budesonide 100mg,Medium,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Budesonide Cap,High,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Budesonide XL,Low,Safe landfill,Yes,Can enter waterways through improper disposal.
Budesonide Tab,High,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Budesonide Tablet,Medium,Do not flush. Incinerate,Yes,Harmful to aquatic life.
Budesonide XL,Low,Hazardous waste treatment,Yes,Eco-hazardous if mixed with household waste.
Budesonide Tablet,Medium,Do not flush. Incinerate,No,Toxic if released into groundwater.
Budesonide Capsule,Medium,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Budesonide Capsule,Low,Safe landfill,No,Harmful to aquatic life.
Budesonide Cap,Medium,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Budesonide Tab,Low,Safe landfill,Yes,Avoid flushing. Dispose in eco-safe bins.
Rivaroxaban XL,Medium,Do not flush. Incinerate,Yes,Avoid flushing. Dispose in eco-safe bins.
Rivaroxaban 250mg,High,Return to pharmacy,No,Can enter waterways through improper disposal.
Rivaroxaban 100mg,High,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Rivaroxaban 500mg,High,Safe landfill,No,Dispose carefully to avoid antibiotic resistance.
